3120
1919
4417
1846
895
4605
aaa
4160
3129
1074
1252
824
2095
1880
2146
3451
4704
aaa
5031
3450
2937
4405
2292
1447
2682
aaa
1715
3217
3543
3176
4006
4447
600
3375
2825
2341
1407
1922
3547
2539
636
913
1445
4223
1205
1358
2265
2093
4600
aaa
1755
4743
4542
aaa
2268
3622
2390
504
2636
4713
4634
4967
1781
2326
1539
2294
aaa
780
2665
4857
1481
3280
3360
3127
2569
aaa
1638
4903
aaa
2373
3905
1269
2110
3181
1227
4974
2988
4702
1768
2584
3142
2200
aaa
621
3922
3285
aaa
4510
3220
622
632
aaa
aaa
1316
4974
aaa
aaa
977
aaa
aaa
1502
3262
986
955
1715
1387
4507
1700
4294
3135
1055
1075
4832
2073
793
4905
2911
3969
515
974
743
2489
aaa
549
1146
1634
2770
2825
2768
1802
3341
1414
5026
3540
2721
3394
1505
540
548
2434
2256
2529
1703
2066
658
aaa
4035
2028
1741
1099
5017
4769
1792
aaa
4184
746
955
2988
1907
3901
2892
776
2317
3769
2443
1376
2622
2549
2795
4063
4619
aaa
1796
3287
785
3898
2518
1694
4625
815
3425
aaa
2589
1754
aaa
2105
aaa
2065
4476
1895
